context	CS	US	US_sound	condition	trial	valence
ContextA16.jpg	25_headphones.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	1	1
ContextA07.jpg	36_sandwich.jpg	negative_16_foot.jpeg	negative_16_foot.wav	1	2	1
ContextA51.jpg	19_bag.jpg	negative_10_leg.jpeg	negative_10_leg.wav	1	3	1
ContextA26.jpg	28_bulb.jpg	negative_01_vomit.jpeg	negative_01_vomit.wav	1	4	1
ContextA33.jpg	03_barbecue.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	2	1	1
ContextA11.jpg	07_tree.jpg	negative_02_baby.jpeg	negative_02_baby.wav	2	2	1
ContextA56.jpg	30_notebook.jpg	negative_04_burns.jpeg	negative_04_burns.wav	2	3	1
ContextA25.jpg	21_bowl.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	2	4	1
ContextA31.jpg	33_speaker.jpg	negative_19_whip.jpeg	negative_19_whip.wav	3	1	1
ContextA17.jpg	38_watch.jpg	negative_20_cat.jpeg	negative_20_cat.wav	3	2	1
ContextA02.jpg	12_goose.jpg	negative_15_plane.jpeg	negative_15_plane.wav	3	3	1
ContextA06.jpg	09_woodencrate.jpg	negative_08_car.jpeg	negative_08_car.wav	3	4	1
ContextA09.jpg	17_spaghetti.jpg	negative_11_feces.jpeg	negative_11_feces.wav	4	1	1
ContextA44.jpg	18_binoculars.jpg	negative_09_shot.jpeg	negative_09_shot.wav	4	2	1
ContextA22.jpg	37_cup.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	4	3	1
ContextA19.jpg	23_coffeepot.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	4	4	1
ContextA20.jpg	04_beer.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	6	1	2
ContextA08.jpg	14_workbench.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	6	2	2
ContextA27.jpg	10_compass.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	6	3	2
ContextA55.jpg	22_clothespin.jpg	neutral_19_market.jpeg	neutral_19_market.wav	6	4	2
ContextA30.jpg	13_rollator.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	7	1	2
ContextA28.jpg	11_teddy.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	7	2	2
ContextA29.jpg	26_lamp.jpg	neutral_01_egg.jpeg	neutral_01_egg.wav	7	3	2
ContextA37.jpg	02_chain.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	7	4	2
ContextA43.jpg	27_basket.jpg	neutral_14_pulley.jpeg	neutral_14_pulley.wav	8	1	2
ContextA47.jpg	06_guitar.jpg	neutral_08_car.jpeg	neutral_08_car.wav	8	2	2
ContextA01.jpg	20_racket.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	8	3	2
ContextA49.jpg	31_pen.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	8	4	2
ContextA41.jpg	40_toiletpaper.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	9	1	2
ContextA32.jpg	35_wateringcan.jpg	neutral_07_student.jpeg	neutral_07_student.wav	9	2	2
ContextA03.jpg	34_umbrella.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	9	3	2
ContextA21.jpg	32_printer.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	9	4	2
