context	CS	US	US_sound	condition	trial	valence	epsiode_nr
ContextA54.png	27_basket.png	negative_17_hanged.png	negative_17_hanged.wav	1	1	1	1
ContextA48.png	33_speaker.png	negative_19_whip.png	negative_19_whip.wav	1	2	1	2
ContextA05.png	31_pen.png	negative_14_hook.png	negative_14_hook.wav	1	3	1	3
ContextA26.png	20_racket.png	negative_02_baby.png	negative_02_baby.wav	1	4	1	4
ContextA18.png	05_leaf.png	negative_11_feces.png	negative_11_feces.wav	2	1	1	5
ContextA38.png	21_bowl.png	negative_15_plane.png	negative_15_plane.wav	2	2	1	6
ContextA06.png	32_printer.png	negative_01_vomit.png	negative_01_vomit.wav	2	3	1	7
ContextA47.png	26_lamp.png	negative_06_drown.png	negative_06_drown.wav	2	4	1	8
ContextA19.png	22_clothespin.png	negative_03_dog.png	negative_03_dog.wav	3	1	1	9
ContextA24.png	04_beer.png	negative_08_car.png	negative_08_car.wav	3	2	1	10
ContextA09.png	02_chain.png	negative_16_foot.png	negative_16_foot.wav	3	3	1	11
ContextA23.png	08_gem.png	negative_09_shot.png	negative_09_shot.wav	3	4	1	12
ContextA34.png	30_notebook.png	negative_20_cat.png	negative_20_cat.wav	4	1	1	13
ContextA04.png	16_spatula.png	negative_04_burns.png	negative_04_burns.wav	4	2	1	14
ContextA08.png	39_pingpongpaddle.png	negative_10_leg.png	negative_10_leg.wav	4	3	1	15
ContextA45.png	10_compass.png	negative_18_chainsaw.png	negative_18_chainsaw.wav	4	4	1	16
ContextA07.png	01_brush.png	neutral_12_slice.png	neutral_12_slice.wav	6	1	2	21
ContextA33.png	36_sandwich.png	neutral_16_cheese.png	neutral_16_cheese.wav	6	2	2	22
ContextA31.png	09_woodencrate.png	neutral_05_shave.png	neutral_05_shave.wav	6	3	2	23
ContextA56.png	03_barbecue.png	neutral_19_market.png	neutral_19_market.wav	6	4	2	24
ContextA17.png	28_bulb.png	neutral_01_egg.png	neutral_01_egg.wav	7	1	2	25
ContextA37.png	24_mouse.png	neutral_08_car.png	neutral_08_car.wav	7	2	2	26
ContextA49.png	18_binoculars.png	neutral_03_dog.png	neutral_03_dog.wav	7	3	2	27
ContextA25.png	12_goose.png	neutral_18_hammer.png	neutral_18_hammer.wav	7	4	2	28
ContextA22.png	29_magnifier.png	neutral_04_lighter.png	neutral_04_lighter.wav	8	1	2	29
ContextA30.png	35_wateringcan.png	neutral_11_soup.png	neutral_11_soup.wav	8	2	2	30
ContextA53.png	19_bag.png	neutral_20_cat.png	neutral_20_cat.wav	8	3	2	31
ContextA44.png	07_tree.png	neutral_10_walk.png	neutral_10_walk.wav	8	4	2	32
ContextA50.png	13_rollator.png	neutral_07_student.png	neutral_07_student.wav	9	1	2	33
ContextA14.png	11_teddy.png	neutral_13_toothbrush.png	neutral_13_toothbrush.wav	9	2	2	34
ContextA02.png	06_guitar.png	neutral_15_plane.png	neutral_15_plane.wav	9	3	2	35
ContextA55.png	17_spaghetti.png	neutral_06_swim.png	neutral_06_swim.wav	9	4	2	36
